系统,一级模块,分组,功能菜单,页面文件,功能要点,优先级,修改内容 - 0911-1-bhong,功能要点
运营后台,系统管理,系统用户管理,用户角色权限,ops/sys-roles.html,模块 × 操作权限矩阵、数据范围,P0,,
运营后台,系统管理,系统管理,资源管理,ops/sys-resources.html,运营后台资源树,P0,,
运营后台,系统管理,系统管理,数据字典,ops/sys-dict.html,枚举字典维护,P0,,
运营后台,系统管理,租户管理,租户列表,ops/tenants.html,开通/编辑/续费/停用、待开通队列,P0,,
运营后台,系统管理,租户管理,租户详情,ops/tenant-detail.html,基本信息、应用绑定、商家账号,—,,
运营后台,系统管理,租户管理,租户用户,ops/users.html,各租户后台账号,P0,,
运营后台,系统管理,租户管理,租户部门,ops/tenant-depts.html,租户组织架构,P0,,
运营后台,系统管理,租户管理,租户角色,ops/tenant-roles.html,内置 + 自定义角色、权限矩阵,P0,,
运营后台,系统管理,租户管理,用户详情,ops/user-detail.html,账号信息、租户绑定、登录与操作记录,—,,
运营后台,系统管理,角色与权限,模板角色,ops/template-roles.html,模板角色下发、复制、发布,P0,,
运营后台,系统管理,应用与资源,应用管理,ops/apps.html,应用上落架、授权租户、版本记录,P0,,
运营后台,系统管理,应用与资源,功能资源配置,ops/resources.html,商家侧资源树与角色绑定,P0,,
运营后台,系统管理,套餐管理,套餐管理,ops/plans.html,套餐范围矩阵、定价、操作日志,P0,,
运营后台,系统管理,套餐管理,新建/编辑套餐,ops/plan-edit.html,应用范围与容量权益配置,—,,
